akansha_angry,akansha_neutral,arzoo_angry,arzoo_neutral,emily_angry,emily_neutral,isha_angry,isha_neutral,lorelai_angry,mompatil_angry_2,mompatil_neutral,olivia_angry,olivia_neutral,pallavi_angry,pallavi_neutral,paris_angry,paris_neutral,pdb_angry,pdb_neutral,pooja_angry,pooja_neutral,pritha_angry,pritha_neutral,sayalee_angry,sayalee_neutral,tanvi_angry,tanvi_neutral,young_angry,young_neutral,angry_woman,neutral_woman
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Silence,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Silence,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Silence,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Silence,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Silence,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Silence,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Hybrid,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Hybrid,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Hybrid,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Noise,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Hybrid,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Hybrid,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Noise,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Hybrid,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Hybrid,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Hybrid,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Hybrid,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Hybrid,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Noise,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Noise,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Noise,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Noise,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Noise,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Noise,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Hybrid,Angry,Neutral,Neutral,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Hybrid,Angry,Hybrid,Neutral,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Hybrid,Angry,Hybrid,Neutral,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Neutral,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Neutral,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Neutral,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Neutral,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Neutral,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Neutral,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Neutral,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Hybrid,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Hybrid,,,,Hybrid,Neutral,,,,,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Hybrid,,,,Silence,Neutral,,,,,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Hybrid,,,,Silence,Neutral,,,,,Angry,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Hybrid,,,,Hybrid,Neutral,,,,,Angry,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Hybrid,,,,Hybrid,Neutral,,,,,Angry,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Neutral,,,,Hybrid,Neutral,,,,,Angry,Hybrid,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,,Angry,Neutral,,,,Silence,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Neutral,,,,Silence,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Neutral,,,,Silence,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Angry,Neutral,,,,Silence,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Hybrid,Neutral,,,,Silence,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Hybrid,Neutral,,,,,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,,Hybrid,Neutral,,,,,Hybrid,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Neutral,Neutral,,,Silence,Neutral,,,,,Silence,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Neutral,Neutral,,,Silence,Neutral,,,,,Hybrid,,,,,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Neutral,Neutral,,,Silence,Neutral,,,,,Hybrid,,,,,Angry,Hybrid,Hybrid,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Neutral,Neutral,,,Silence,Neutral,,,,,Hybrid,,,,,Angry,Hybrid,Hybrid,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Neutral,Neutral,,,Silence,Neutral,,,,,Neutral,,,,,Angry,Hybrid,Hybrid,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Neutral,Neutral,,,Silence,Neutral,,,,,Neutral,,,,,Angry,Hybrid,Hybrid,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Neutral,Neutral,,,Hybrid,Neutral,,,,,Neutral,,,,,Angry,Hybrid,Hybrid,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Neutral,Neutral,,,Hybrid,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Neutral,Neutral,,,Hybrid,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Neutral,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Hybrid,Neutral,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Hybrid,Neutral,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Hybrid,Hybrid,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Hybrid,Neutral,Angry,Neutral,,
Hybrid,Hybrid,Hybrid,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Hybrid,Neutral,Angry,Neutral,,
Hybrid,Hybrid,Hybrid,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Hybrid,Hybrid,Neutral,Angry,Neutral,,
Hybrid,Hybrid,Noise,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Hybrid,Silence,Neutral,Angry,Neutral,,
Hybrid,Neutral,Noise,Hybrid,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Hybrid,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Noise,Hybrid,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Hybrid,Hybrid,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Noise,Hybrid,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Hybrid,Hybrid,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Noise,Hybrid,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Hybrid,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Noise,Hybrid,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Silence,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Noise,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Silence,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Noise,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Hybrid,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Noise,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Hybrid,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Noise,Neutral,,,Angry,Neutral,,,,,Neutral,,,,,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Hybrid,Neutral,Silence,Neutral,Angry,Neutral,,
